label,gr,exit_lag_rate,N_max,shape
Curve00087,0.20780417267516574,0.48774359110647186,0.3351559681788237,3.4181627182507395
Curve00745,0.24777931002394765,0.24816782117178895,0.3316869667677431,3.456552304411261
Curve00416,0.2904783286645492,0.245019108174698,0.3524127889304556,2.295007982528447
Curve01811,0.2505869940479178,0.26004428070624014,0.3324673872717367,2.7900442666407264
Curve00909,0.276497938385907,0.2107396895845464,0.33307353416521657,2.6448843421210366
Curve02139,0.27005602063663314,0.20685091057469754,0.3371336985685306,2.698704829558233
Curve01483,0.25768298140505635,0.15275647527102318,0.3460968908508055,2.5281601285220585
Curve01893,0.24846029228686178,0.32833783364552444,0.33785188549042094,2.6934671403264847
Curve00334,0.2196653292176088,0.36351278553637484,0.33778953094806446,3.5186824459624804
Curve02303,0.28238662016226873,0.23401849280374057,0.3458362351685577,2.7695971446285728
Curve01402,0.2619628770009801,0.2682635711563781,0.3439685380279378,3.0417041396234934
Curve02468,0.26367942779278036,0.24535596282634772,0.3359187211085284,2.9710696724144463
Curve00170,0.20036659126930925,0.5490804975877338,0.3394262891923462,3.7181200538635246
Curve02221,0.26392293334181455,0.22114312363172509,0.33911828291016155,2.9177784200968735
Curve00992,0.3959545432696744,0.050905550654898525,0.33274673334212035,2.17193147355922
Curve01647,0.28019082809541224,0.17841183598856744,0.3395971805215746,2.7362339522408337
Curve01073,0.2401545377180735,0.25014423688881754,0.33366429581873525,2.9429559741959745
Curve01976,0.2203810446098285,0.3720505647170235,0.3253607250645395,3.162472150268968
Curve01320,0.3598704512738028,0.3074466655079464,0.3797245478122086,1.7141302705028045
Curve01730,0.2756785805693411,0.24088380338283927,0.34497593293482154,2.599546841629123
Curve01156,0.2347776348140294,0.3787642795293066,0.3411767408044989,3.237860653051967
Curve01239,0.27384000780903006,0.21593768237657676,0.34058242500443836,2.561690294550225
Curve00910,0.26869389732978777,0.23028346692045676,0.33815135679820774,2.7208842336012142
Curve00827,0.27008226234974647,0.21342653951816992,0.3304370540617217,2.7824641318651344
Curve02549,0.3053711983584924,0.16066157139014037,0.345225164440499,2.590739376622389
Curve00582,0.24480393257214997,0.2617392224401156,0.32693143235107797,3.1700859086918762
Curve02386,0.24718676762548736,0.2589899989157067,0.331184803305552,3.0958170456822653
Curve01565,0.26919097232289807,0.22477017728332468,0.33916630703565476,2.6167212300408282
Curve00663,0.24973259048644644,0.06344679667829747,0.3453240443855892,3.27804832593643
Curve01894,0.2303124467031177,0.3141220675082761,0.341133761402436,3.633072365026223
Curve01484,0.24980215947229553,0.15065191948620232,0.31695127893612923,3.0186318260394684
Curve00088,0.21105680922554113,0.4793061404367893,0.33803885983258863,3.5051565280748833
Curve00993,0.40016605596310206,0.05194707614579363,0.3221628360336613,2.235092999589891
Curve00171,0.21986060963578272,0.6131550922073475,0.3477111820149276,3.1861815343466824
Curve00746,0.23356220334223263,0.33686060123899586,0.3368272660667924,3.6938377151833066
Curve01403,0.2310706890481019,0.31881961298537753,0.3351067824433834,3.6641684832609034
