condition,gr,exit_lag_rate,N_max
Cond00366,0.3040883611172913,0.14946333180590177,0.33955494986893553
Cond00367,0.27323229618586997,0.14547951914916563,0.33561470385619413
Cond00368,0.09667489074440122,0.24242664011295126,0.1594481133368273
Cond00369,0.12403941656357866,0.33416847053275006,0.17760558755913813
Cond00370,0.4487821001680879,0.14853703726735265,0.4510193379735269
Cond00371,0.42330805216143946,0.08657684934064673,0.45422257708771063
Cond00372,0.3018815878984492,0.2127141659454148,0.30890607919875074
Cond00373,0.24222300913965725,0.21861801656229882,0.3038979606897833
Cond00374,0.28981276783100296,0.21903968400636892,0.35022803873147856
Cond00375,0.28268308814872,0.1537022469741167,0.320808601338074
Cond00376,0.2767066019684866,0.18122162882926887,0.3306068374327431
Cond00377,0.29781535739014897,0.17910270848052834,0.3383311893568801
Cond00378,0.28579350776012036,0.21837844911130452,0.3454912380131489
Cond00379,0.27959780024844805,0.18678586551298715,0.36237985692090624
Cond00380,0.2864985668661073,0.13183816914478172,0.3241023878942731
Cond00381,0.2960003279356999,0.1427973451061035,0.3306330659710937
Cond00382,0.20427530810816585,0.285220308578766,0.3298507287341844
Cond00383,0.3108269736517528,0.1617698379586034,0.37359420659102527
Cond00384,0.3205168562264123,0.13651939211765224,0.33162589709384627
Cond00385,0.28969137815245866,0.1578122088051366,0.3324919327375518
Cond00386,0.32096833991016327,0.15672882457457224,0.34947964669001114
Cond00387,0.31462490158393763,0.17833806789754358,0.35651000305847086
Cond00388,0.2997069868642844,0.13910229827900888,0.3337966585189671
Cond00389,0.27952187333486556,0.15106750975782676,0.3321411642151014
Cond00390,0.31520972935540775,0.1430601316311679,0.35146759028816466
Cond00391,0.29541298828296686,0.14587794198567314,0.3508493686199746
Cond00392,0.3856107453544002,0.02454501181662325,0.33610944200007054
Cond00393,0.29870121258025406,0.04873026443431508,0.31935076088156356
Cond00394,0.22950619217636847,0.35061928908681433,0.34391242981357084
Cond00395,0.2703694909156191,0.31702752636495135,0.4307242616864878
Cond00396,0.28795139783044976,0.17272828987926298,0.3319330221483956
Cond00397,0.29070366816343346,0.16665663613772386,0.3303848492565025
Cond00398,0.2558674738766211,0.09981074590919305,0.30629024097758095
Cond00399,0.1758814334367619,0.05802240137428151,0.2817136506367792
Cond00400,0.26454584892013305,0.26195770469447194,0.3381427976608126
Cond00401,0.28192981410105117,0.24772383571670067,0.3409741650764687
Cond00402,0.3144025068018524,0.04945858418475691,0.3180922424910268
Cond00403,0.4164579631410779,0.02350296272037861,0.38310515331535766
Cond00404,0.23917281386626055,16.670457023196448,10.882188784882961
Cond00405,0.24648735194580362,0.2680038785720973,0.32841018431699903
Cond00406,0.44945752534379135,0.12594536827081196,0.4975507835005295
Cond00407,0.2590080538170565,0.11798878862325239,0.328168052980311
Cond00408,0.27604698896880786,0.19532438318802076,0.3139443233796026
Cond00409,0.36907334239644246,0.18464665783693618,0.35583296181865576
Cond00410,0.2989624044635715,0.14923475713727277,0.33467895398839864
Cond00411,0.32967748481091824,0.1161070370447361,0.34500355507281794
Cond00412,0.12298358992958518,0.16212480079879732,0.1648647834104803
Cond00413,0.130068261200416,0.3565687201313167,0.18154419352068282
Cond00414,0.40883320677413365,0.1781671414796497,0.4624923012902468
Cond00415,0.4203218292451673,0.08064299567124308,0.45407357007874005
Cond00416,0.40649702087037914,0.1456308456014216,0.33551338482464244
Cond00417,0.40635862578294674,0.14975093124674022,0.3124607919209904
Cond00418,0.2794078523497523,0.23652467533464902,0.3447485750969222
Cond00419,0.28360059511434144,0.13312254881768978,0.31698671199987316
Cond00420,0.3426361502968042,0.1511130715227828,0.33724172953977594
Cond00421,0.3013236052554954,0.15044421375174244,0.33471152319186864
Cond00422,0.28373591945671683,0.20920761541570185,0.3421257769289382
Cond00423,0.31059067190221445,0.16502431664534503,0.3608188499156216
